,price,address,price_address_concat,count_address,duplicate,county_1,manual_label
0," €238,000.00 ","35 Charles Daly Road, Togher, Togher (Cork City), Co. Cork",,1,,Co. Cork,
1," €197,500.00 ","18 Fairways, Castlebar, Co. Mayo",,1,,Co. Mayo,
2," €425,000.00 ","17 Oakfield Heights, Glanmire, Co. Cork",,1,,Co. Cork,
3," €550,000.00 ","102 Iveragh Road, Whitehall, Whitehall, Dublin 9",,1,,Co. Dublin,
4," €115,000.00 ","Parnell Row, Granard, Co. Longford",,1,,Co. Longford,
5," €158,500.00 ","Beech, Turlough, Castlebar, Co. Mayo",,1,,Co. Mayo,
6," €225,000.00 ","Polladooey, Aughnacliffe, Co. Longford",,1,,Co. Longford,
7," €160,000.00 ","136 Templeacre Avenue, Gurranebraher, Gurranabraher, Co. Cork",,1,,Co. Cork,
8," €475,000.00 ","15 Baskin Cottages, Cloghran, Co. Dublin",,1,,Co. Dublin,
9," €555,000.00 ","Cherry Lane, Cherry Lane, Cherrywood, Co. Dublin",,1,,Co. Dublin,
10," €875,000.00 ","2 Cherry Hill, Delgany Wood, Delgany, Co. Wicklow",,1,,Co. Wicklow,
11," €349,000.00 ","37 Castleheath, Malahide, Co. Dublin",,1,,Co. Dublin,
12," €160,000.00 ","Drumgill, Drumconrath, Co. Meath","160000Drumgill, Drumconrath, Co. Meath",2,1,Co. Meath,
13," €315,000.00 ","1 Church View, Ardcath, Garristown, Co. Meath",,1,,Co. Meath,
14," €259,000.00 ","Apartment 13, Moorings, Harty's Quay, Rochestown, Co. Cork",,1,,Co. Cork,
15," €195,000.00 ","63 Cois Na H, Abhainn, Ballygaddy Road, Tuam, Co. Galway",,1,,Co. Galway,
16," €238,000.00 ","Apartment 1E, Gort Siar, Knocknacarra, Co. Galway",,1,,Co. Galway,
17," €239,950.00 ","9 Druim Cala, Dromod, Co. Leitrim",,1,,Co. Leitrim,
18," €210,000.00 ","24 Dun Na Ri, Tobarteascain, Ennis, Co. Clare",,1,,Co. Clare,
19," €139,000.00 ","15 CarraÃ­g AbhÃ¡inn, Ballisodare, Co. Sligo",,1,,Co. Sligo,
20," €565,000.00 ","Donore House, Turtulla, Thurles, Co. Tipperary",,1,,Co. Tipperary,
21," €575,000.00 ","Manderley, Muckross Drive, Muckross Road, Killarney, Co. Kerry",,1,,Co. Kerry,
22," €575,000.00 ","1 An Tuairin, Lackenfune, Dungarvan, Co. Waterford",,1,,Co. Waterford,
23," €540,000.00 ","Apartment 21, Block 5, Galley Quay, Dublin 2",,1,,Co. Dublin,
