,year,area,price
0,2012,Cork,174008.07662853057
1,2012,Dublin,280451.8166897969
2,2012,Galway,166858.55682421228
3,2012,Limerick,146380.13066742083
4,2012,Other areas,137449.30617197126
5,2012,Waterford,125207.7967114094
6,2013,Cork,173956.7633801527
7,2013,Dublin,326063.87742071465
8,2013,Galway,155707.11653341659
9,2013,Limerick,138891.6356742179
10,2013,Other areas,131282.52641880285
11,2013,Waterford,119106.60663115846
12,2014,Cork,178322.0835714285
13,2014,Dublin,363910.454221508
14,2014,Galway,156545.75165794758
15,2014,Limerick,120970.22324535094
16,2014,Other areas,137167.0008814799
17,2014,Waterford,122179.72981018119
18,2015,Cork,204722.65192998352
19,2015,Dublin,350378.04552307643
20,2015,Galway,168047.80196539796
21,2015,Limerick,137870.31155490765
22,2015,Other areas,151207.39742086854
23,2015,Waterford,129890.19295031055
24,2016,Cork,196370.1845231467
25,2016,Dublin,398519.74404997233
26,2016,Galway,190566.03823433697
27,2016,Limerick,143498.27060989005
28,2016,Other areas,162293.38946337777
29,2016,Waterford,138870.5392361597
30,2017,Cork,222191.6872319777
31,2017,Dublin,403461.8024171621
32,2017,Galway,204534.25448058767
33,2017,Limerick,154277.1082719549
34,2017,Other areas,179247.81647078853
35,2017,Waterford,144419.25540433923
