,year,area,sale_price,avg_home_price
0,2012,Cork,174008.0766,227937
1,2012,Dublin,280451.8167,293607
2,2012,Galway,166858.5568,212493
3,2012,Limerick,146380.1307,200824
4,2012,Other areas,137449.3062,175137
5,2012,Waterford,125207.7967,195661
6,2013,Cork,173956.7634,225028
7,2013,Dublin,326063.8774,323105
8,2013,Galway,155707.1165,209142
9,2013,Limerick,138891.6357,193286
10,2013,Other areas,131282.5264,157165
11,2013,Waterford,119106.6066,191744
12,2014,Cork,178322.0836,225605
13,2014,Dublin,363910.4542,340631
14,2014,Galway,156545.7517,208603
15,2014,Limerick,120970.2232,189454
16,2014,Other areas,137167.0009,176642
17,2014,Waterford,122179.7298,198801
18,2015,Cork,204722.6519,237764
19,2015,Dublin,350378.0455,356334
20,2015,Galway,168047.802,221129
21,2015,Limerick,137870.3116,203245
22,2015,Other areas,151207.3974,192402
23,2015,Waterford,129890.193,225448
24,2016,Cork,196370.1845,266100
25,2016,Dublin,398519.744,374650
26,2016,Galway,190566.0382,237958
27,2016,Limerick,143498.2706,215315
28,2016,Other areas,162293.3895,206745
29,2016,Waterford,138870.5392,236252
