,price,address
0,"€238,000 ","35 Charles Daly Road, Togher, Togher (Cork City), Co. Cork"
1,"€197,500 ","18 Fairways, Castlebar, Co. Mayo"
2,"€425,000 ","17 Oakfield Heights, Glanmire, Co. Cork"
3,"€550,000 ","102 Iveragh Road, Whitehall, Whitehall, Dublin 9"
4,"€115,000 ","Parnell Row, Granard, Co. Longford"
5,"€158,500 ","Beech, Turlough, Castlebar, Co. Mayo"
6,"€225,000 ","Polladooey, Aughnacliffe, Co. Longford"
7,"€160,000 ","136 Templeacre Avenue, Gurranebraher, Gurranabraher, Co. Cork"
8,"€475,000 ","15 Baskin Cottages, Cloghran, Co. Dublin"
9,"From €555,000 ","Cherry Lane, Cherry Lane, Cherrywood, Co. Dublin"
10,"€875,000 ","2 Cherry Hill, Delgany Wood, Delgany, Co. Wicklow"
11,"€349,000 ","37 Castleheath, Malahide, Co. Dublin"
12,"€160,000 ","Drumgill, Drumconrath, Co. Meath"
13,"€315,000 ","1 Church View, Ardcath, Garristown, Co. Meath"
14,"€259,000 ","Apartment 13, Moorings, Harty's Quay, Rochestown, Co. Cork"
15,"€195,000 ","63 Cois Na H, Abhainn, Ballygaddy Road, Tuam, Co. Galway"
16,"€238,000 ","Apartment 1E, Gort Siar, Knocknacarra, Co. Galway"
17,"€239,950 ","9 Druim Cala, Dromod, Co. Leitrim"
18,"€210,000 ","24 Dun Na Ri, Tobarteascain, Ennis, Co. Clare"
19,"€139,000 ","15 Carraíg Abháinn, Ballisodare, Co. Sligo"
20,"€565,000 ","Donore House, Turtulla, Thurles, Co. Tipperary"
21,"€575,000 ","Manderley, Muckross Drive, Muckross Road, Killarney, Co. Kerry"
22,"€575,000 ","1 An Tuairin, Lackenfune, Dungarvan, Co. Waterford"
23,"€540,000 ","Apartment 21, Block 5, Galley Quay, Dublin 2"
24,"€795,000 ","Bella Vista, Tomriland, Roundwood, Co. Wicklow"
25,"€520,000 ","13 Rosewood Avenue, Bandon, Co. Cork"
26,"€285,000 ","2 Blakes Court, Clonsilla, Dublin 15"
27,"18 Luxury A rated 3, 4 & 5 Bed Contemporary Homes ","Leighton Manor, Two Mile Borris, Thurles, Twomileborris, Co. Tipperary"
28,"€395,000 ","Loughnagin Heights, Ramelton Road, Letterkenny, Co. Donegal"
29,"€500,000 ","Rossbrin, Schull, Co. Cork"
30,"€330,000 ","17 Ribh Road, Artane, Artane, Dublin 5"
31,"€185,000 ","7 Kylemore Grove, Fiddown, Co. Kilkenny"
32,"€1,150,000 ","The Inglenook, Co. Cork"
33,"€350,000 ","Toor North, Aglish, Dungarvan, Co. Waterford"
34,"€205,000 ","10 Woodstream, Coolaney, Co. Sligo"
35,"€260,000 ","8 Dun Aras, Hurler's Cross, Shannon, Co. Clare"
36,Price on Application ,"Kilclare House, Conna, Co. Cork"
37,"€230,000 ","3 Close's Park, Farranree, Farranree, Co. Cork"
38,"€410,000 ","42 Old Mill Race, Athgarvan, Newbridge, Co. Kildare"
39,"€470,000 ","15 Rowan Hall, Milltown, Dublin 6"
40,Price on Application ,"Oak Church, Oak Church, Kildare, Co. Kildare"
41,"€425,000 ","""Lisieux"", Greenville Close, Enniscorthy, Co. Wexford"
42,"€190,000 ","190 Rusheen Árd, Caltragh, Sligo, Co. Sligo"
43,"€495,000 ","496 Collins Avenue, Whitehall, Dublin 9"
44,"€650,000 ","Dromena Hill, Castlebellingham, Dundalk, Co. Louth"
45,Price on Application ,"Cregnanagh, Shrule, Shrule, Co. Mayo"
46,"€550,000 ","20 Killeen Avenue, Malahide, Co. Dublin"
47,"€240,000 ","18 Broomville Close, Portlaoise, Co. Laois"
48,"€120,000 ","Drumhaldry, Moyne, Co. Longford"
49,"€375,000 ","101 The Clayton, The Gasworks, South Lotts Road, Ringsend, Dublin 4"
50,"€149,000 ","Apartment 13, Block A, The Oaks, Portarlington, Co. Laois"
51,"€1,225,000 ","10 The Crescent, Co. Galway"
52,"€165,000 ","4 Railway Mews, Bruree, Co. Limerick"
53,"€750,000 ","Stradbally East, Clarinbridge, Co. Galway"
54,"€490,000 ","Garrymore, Portarlington, Co. Laois"
55,"From €224,950 ","Dundoogan, Haynestown, Dundalk, Co. Louth"
56,"€100,000 ","Racecourse Road, Dowdallshill, Dowdallshill, Co. Louth"
57,"€295,000 ","Apartment 7, Fairhaven, Malahide, Co. Dublin"
58,"€525,000 ","8 Ardilea, Castlecomer Road, Kilkenny, Co. Kilkenny"
